COUNTRY,GLOBAL MARKET,QUANTITY,S.NO.,SALES CHANNEL,CUSTOMER NAME,PAYMENT METHOD,SALES MODEL,CATEGORY,PAYMENT STATUS,SHIPPING STATUS,UNIT PRICE,TOTAL REVENUE,DISCOUNT AMOUNT,DISCOUNT APPLIED,TAX APPLIED,TAX AMOUNT,NET SALES,GROSS SALES,PROFIT,ORDER DATE,DELIVERY DATE,RATING,REFERRAL SOURCE ,REPEAT PURCHASE,COURIER PARTNER,AVERAGE ORDER VALUE,CITY,CUSTOMER TYPE,DELIVERY TYPE,SUB CATEGORY,CURRENCY,COUPON CODE USED,SOURCE OF TRAFFIC,STOCK AVAILIBILITY,CUSTOMER REVIEW COMMENT,SHIPPING AMOUNT,EMI STATUS,CUSTOMER AGE 
Netherlands,0.5,208,750,Bol.com,Yasmin Singh,Cryptocurreny,B2C AND C2C,toys,Refunded,RETURNED,41368,8604544,6205.2,15%,18%,1548817.92,8598338.8,35162.8,7055726.08,19-01-2025,23-01-2025,3.9,Social Media,no,FedEx,41368,Amsterdam,NEW,International Delivery,Plush Toys,Euro,yes,Social Media,yes,WORST,413.68,Debit Card EMI,32
Sweden,0.5,156,751,cdon,Bodhi Gonzalez,UPI,B2C AND C2C,games,Cancelled,DELIVERED,41278,6439368,6191.7,15%,18%,1159086.24,6433176.3,35086.3,5280281.76,20-01-2025,24-01-2025,4.7,Social Media,yes,FedEx,41278,Stockholm,RETURNING,Next-Day Delivery,PlayStation,Swedish Krona,yes,Social Media,no,GOOD,412.78,Bank EMI,41
singapore,0.4,297,752,Qoo10,Ibrahim Bashir,Debit Card,B2C AND C2C,korean goods,Paid,IN TRANSIT,37778,11220066,5666.7,15%,18%,2019611.88,11214399.3,32111.3,9200454.12,21-01-2025,25-01-2025,3.5,Direct,yes,DHL Express,37778,singapore,NEW,STANDARD,Korean Sauces,Dollar,no,Influencer blogs,yes,BAD,377.78,BNPL (Buy Now Pay Later),33
France,2.6,292,753,Amazon FR,Cruz Nakamura,Cryptocurreny,B2C AND C2C,Fashion,Pending,IN TRANSIT,23195,6772940,3479.25,15%,18%,1219129.2,6769460.75,19715.75,5553810.8,22-01-2025,26-01-2025,1.8,app,no,Blue Dart,23195,Paris,RETURNING,EXPRESS,Sneakers,Euro,no,google ads,no,WORST,231.95,EMI Declined,23
Australia,1,175,754,Catch,Tara Kim,COD,B2C,daily deals,Paid,DELIVERED,26076,4563300,3911.4,15%,18%,821394,4559388.6,22164.6,3741906,23-01-2025,27-01-2025,4.2,Website,no,Shadowfax,26076,sydney,NEW,Locker Delivery,Hourly Flash Sales,Dollar,yes,email,no,EXCELLENT,260.76,BNPL (Buy Now Pay Later),42
Brazil,1.3,236,755,Magalu,Callum Hussain,Credit Card,B2C,furniture,Cancelled,RETURNED,25331,5978116,3799.65,15%,18%,1076060.88,5974316.35,21531.35,4902055.12,24-01-2025,28-01-2025,3,Social Media,yes,DHL Express,25331,Rio de Janeiro,RETURNING,STANDARD,Wardrobes,Brazilian Real,no,Influencer blogs,no,GOOD,253.31,Bank EMI,50
Mexico,1.2,131,756,Liverpool,Nia Mendez,Payment Gateways,B2C,beauty,Pending,IN TRANSIT,38463,5038653,5769.45,15%,18%,906957.54,5032883.55,32693.55,4131695.46,25-01-2025,29-01-2025,1,Direct,yes,Ecom Express,38463,Mexico City,NEW,EXPRESS,Makeup Kits & Combo,mexican Peso,no,Influencer Marketing,yes,BAD,384.63,BNPL (Buy Now Pay Later),21
italy,0.8,206,757,ePrice,Alia Delgado,UPI,B2C,computers,Refunded,DELIVERED,36492,7517352,5473.8,15%,18%,1353123.36,7511878.2,31018.2,6164228.64,26-01-2025,30-01-2025,1.5,Social Media,yes,Xpressbees,36492,Rome,RETURNING,International Delivery,Desktops,Euro,yes,YouTube ads,no,GOOD,364.92,EMI Declined,40
Russia,0.7,111,758,Wildberries,Sofia Qureshi,BNPL,B2C AND C2C,clothing,Cancelled,DELIVERED,44999,4994889,6749.85,15%,18%,899080.02,4988139.15,38249.15,4095808.98,27-01-2025,31-01-2025,2,Direct,no,DTDC,44999,Saint Petersburg,NEW,Next-Day Delivery,T-Shirts & Polos,Russian Ruble,yes,directly,yes,BAD,449.99,BNPL (Buy Now Pay Later),47
Spain,0.7,178,759,PCComponentes,Rohan Fitzgerald,COD,B2C,tech gadgets,Failed,RETURNED,26997,4805466,4049.55,15%,18%,864983.88,4801416.45,22947.45,3940482.12,28-01-2025,01-02-2025,0.3,Website,yes,FedEx,26997,Madrid,RETURNING,EXPRESS,Soundbars,Euro,no,email,no,EXCELLENT,269.97,Debit Card EMI,38
Turkey,0.6,173,760,Trendyol,Caleb Mehta,Payment Gateways,B2C,Fashion,Refunded,IN TRANSIT,44733,7738809,6709.95,15%,18%,1392985.62,7732099.05,38023.05,6345823.38,29-01-2025,02-02-2025,3.6,app,no,Blue Dart,44733,Ankara,RETURNING,Next-Day Delivery,Sunglasses,Turkish Lira,yes,YouTube ads,yes,EXCELLENT,447.33,Not Available,43
Netherlands,0.5,107,761,Coolblue,Yusuf Mori,Debit Card,B2C,smartphones,Cancelled,DELIVERED,38836,4155452,5825.4,15%,18%,747981.36,4149626.6,33010.6,3407470.64,30-01-2025,03-02-2025,4.5,Website,no,FedEx,38836,Rotterdam,RETURNING,STANDARD,Apple,Euro,yes,email,no,WORST,388.36,Debit Card EMI,36
Sweden,0.5,272,762,Elgiganten,Indira Romano,Cryptocurreny,B2C,COMPUTERS,Paid,RETURNED,35161,9563792,5274.15,15%,18%,1721482.56,9558517.85,29886.85,7842309.44,31-01-2025,04-02-2025,2.4,app,yes,Blue Dart,35161,Gothenburg,RETURNING,Next-Day Delivery,Laptops & Notebooks,Swedish Krona,no,Social Media,yes,GOOD,351.61,Bank EMI,27
singapore,0.4,198,763,Amazon SG,Keenan Castro,COD,B2C,beauty,Pending,IN TRANSIT,27104,5366592,4065.6,15%,18%,965986.56,5362526.4,23038.4,4400605.44,01-02-2025,05-02-2025,4,Direct,yes,Ecom Express,27104,singapore,RETURNING,International Delivery,Toners & Mists,Dollar,yes,directly,no,BAD,271.04,BNPL (Buy Now Pay Later),34
France,2.6,225,764,Fnac,Kairo Davis,Credit Card,B2C,music,Paid,IN TRANSIT,26562,5976450,3984.3,15%,18%,1075761,5972465.7,22577.7,4900689,02-02-2025,06-02-2025,5,Social Media,yes,Xpressbees,26562,Marseille,NEW,EXPRESS,Pop,Euro,no,google ads,yes,GOOD,265.62,EMI Declined,25
China,50,136,765,JD.com,Micah Becker,Payment Gateways,B2C,Appliances,Cancelled,RETURNED,23327,3172472,3499.05,15%,18%,571044.96,3168972.95,19827.95,2601427.04,03-02-2025,07-02-2025,2.1,Social Media,no,DTDC,23327,Shenzhen,RETURNING,International Delivery,Refrigerators,Chinese Yuan,yes,Influencer blogs,no,WORST,233.27,BNPL (Buy Now Pay Later),22
US,27,193,766,Amazon,Eren Johansson,UPI,B2C AND C2C,ELECTRONICS,Pending,DELIVERED,31368,6054024,4705.2,15%,18%,1089724.32,6049318.8,26662.8,4964299.68,04-02-2025,08-02-2025,1.6,Direct,no,Shadowfax,31368,Los Angeles,NEW,Next-Day Delivery,Earphones & Headphones,Dollar,no,Influencer Marketing,yes,EXCELLENT,313.68,Debit Card EMI,29
China,50,112,767,Alibaba,Ibrahim Joshi,BNPL,B2B,Raw materials,Refunded,DELIVERED,31856,3567872,4778.4,15%,18%,642216.96,3563093.6,27077.6,2925655.04,05-02-2025,09-02-2025,2.7,app,yes,FedEx,31856,Shanghai,RETURNING,EXPRESS,Chemicals & Solvents,Chinese Yuan,yes,directly,no,GOOD,318.56,Not Available,45
US,27,282,768,eBay,Jonah Yamada,COD,B2C AND C2C,collectibles,Cancelled,RETURNED,41891,11813262,6283.65,15%,18%,2126387.16,11806978.35,35607.35,9686874.84,06-02-2025,10-02-2025,1.2,Website,no,FedEx,41891,New York City,NEW,STANDARD,Stamps,Dollar,no,directly,no,BAD,418.91,Pre-Approved EMI,49
Japan,3.9,294,769,Rakuten,Jace Fitzgerald,Payment Gateways,B2C AND C2C,sports goods,Failed,IN TRANSIT,38753,11393382,5812.95,15%,18%,2050808.76,11387569.05,32940.05,9342573.24,07-02-2025,11-02-2025,2.5,app,yes,DHL Express,38753,Tokyo,RETURNING,International Delivery,Outdoor & Adventure,Japanese Yen,yes,google ads,yes,GOOD,387.53,Card EMI,48
UK,2.9,290,770,Tesco,Elijah Coleman,Net Banking,B2C,clothing,Refunded,DELIVERED,20280,5881200,3042,15%,18%,1058616,5878158,17238,4822584,08-02-2025,12-02-2025,1.1,Website,no,Blue Dart,20280,London,NEW,Next-Day Delivery,Dresses,British Pound Sterling,no,Influencer blogs,yes,WORST,202.8,Debit Card EMI,44
South Korea,4.2,267,771,Coupang,Luca Calderon,Debit Card,B2C,beauty,Cancelled,DELIVERED,40328,10767576,6049.2,15%,18%,1938163.68,10761526.8,34278.8,8829412.32,09-02-2025,13-02-2025,2.3,Direct,yes,Shadowfax,40328,Busan,RETURNING,STANDARD,Makeup Kits & Combo,South Korean Won,yes,Influencer Marketing,no,EXCELLENT,403.28,Yes,46
India,2.4,295,772,Jio Mart,Zara Andrade,Digital Wallets,B2C,household,Paid,RETURNED,37806,11152770,5670.9,15%,18%,2007498.6,11147099.1,32135.1,9145271.4,10-02-2025,14-02-2025,4.6,Social Media,no,DHL Express,37806,mumbai,NEW,EXPRESS,Floor cleaners,Indian Rupee,yes,directly,no,WORST,378.06,BNPL (Buy Now Pay Later),37
Germany,2.1,130,773,media market,Eren Shah,BNPL,B2C,audio/video,Pending,IN TRANSIT,29878,3884140,4481.7,15%,18%,699145.2,3879658.3,25396.3,3184994.8,11-02-2025,15-02-2025,4.4,Direct,yes,Ecom Express,29878,Berlin,RETURNING,Locker Delivery,bluetooth Speakers,Euro,no,email,yes,GOOD,298.78,Debit Card EMI,28
Indonesia,1.2,292,774,Shopee,Mateo Abdul,UPI,B2C AND C2C,clothing,Paid,DELIVERED,27780,8111760,4167,15%,18%,1460116.8,8107593,23613,6651643.2,12-02-2025,16-02-2025,1.7,Social Media,no,Xpressbees,27780,Surabaya,RETURNING,Scheduled Delivery,T-Shirts & Polos,Indonesian Rupiah,no,Social Media,yes,BAD,277.8,EMI Declined,26
Canada,1.5,264,775,Best Buy,Keenan Kim,Digital Wallets,B2C,gaming,Cancelled,RETURNED,36891,9739224,5533.65,15%,18%,1753060.32,9733690.35,31357.35,7986163.68,13-02-2025,17-02-2025,2.9,app,yes,DTDC,36891,vancouver,RETURNING,Next-Day Delivery,Mobile Gaming,Dollar,yes,google ads,yes,GOOD,368.91,Card EMI,24
Australia,1,148,776,Catch,Suri Richardson,Credit Card,B2C,toys,Pending,IN TRANSIT,20722,3066856,3108.3,15%,18%,552034.08,3063747.7,17613.7,2514821.92,14-02-2025,18-02-2025,3.9,Website,no,FedEx,20722,melbourne,NEW,International Delivery,Plush Toys,Dollar,no,directly,no,WORST,207.22,Yes,19
Brazil,1.3,215,777,Mercado Livre,Elise Yamada,Payment Gateways,B2C AND C2C,auto parts,Refunded,IN TRANSIT,32430,6972450,4864.5,15%,18%,1255041,6967585.5,27565.5,5717409,15-02-2025,19-02-2025,4.7,app,yes,Blue Dart,32430,São Paulo,RETURNING,International Delivery,Brakes,Brazilian Real,no,email,no,EXCELLENT,324.3,No,32
Mexico,1.2,180,778,Liverpool,Micah Aziz,COD,B2C,Apparel,Cancelled,RETURNED,46759,8416620,7013.85,15%,18%,1514991.6,8409606.15,39745.15,6901628.4,16-02-2025,20-02-2025,3.5,Social Media,no,FedEx,46759,Guadalajara,NEW,Next-Day Delivery,Baby & Toddler,mexican Peso,yes,Social Media,yes,EXCELLENT,467.59,Not Available,41
italy,0.8,142,779,Zalando,Milan Matthews,Cryptocurreny,B2C,accessories,Failed,DELIVERED,29091,4130922,4363.65,15%,18%,743565.96,4126558.35,24727.35,3387356.04,17-02-2025,21-02-2025,1.8,Direct,yes,Blue Dart,29091,Milan,RETURNING,Scheduled Delivery,Gloves & Mittens,Euro,yes,google ads,no,WORST,290.91,Pre-Approved EMI,40
Russia,0.7,204,780,Yandex Market,Ava Dupont,UPI,B2C,office supplies,Refunded,DELIVERED,34947,7129188,5242.05,15%,18%,1283253.84,7123945.95,29704.95,5845934.16,18-02-2025,22-02-2025,4.2,Social Media,no,Ecom Express,34947,Moscow,NEW,Locker Delivery,Paper Products,Russian Ruble,no,directly,no,BAD,349.47,Card EMI,47
Spain,0.7,114,781,El Corte Inglés,Mateo Becker,Net Banking,B2C,Grocery,Cancelled,RETURNED,33762,3848868,5064.3,15%,18%,692796.24,3843803.7,28697.7,3156071.76,19-02-2025,23-02-2025,3,app,yes,FedEx,33762,Barcelona,RETURNING,EXPRESS,Dairy & Eggs,Euro,yes,YouTube ads,yes,BAD,337.62,Debit Card EMI,38
Turkey,0.6,161,782,Hepsiburada,Malachi Foley,Debit Card,B2C,HOME,Paid,IN TRANSIT,44044,7091084,6606.6,15%,18%,1276395.12,7084477.4,37437.4,5814688.88,20-02-2025,24-02-2025,1,Website,no,DTDC,44044,Istanbul,NEW,STANDARD,Furniture,Turkish Lira,yes,Influencer blogs,yes,GOOD,440.44,Bank EMI,43
Netherlands,0.5,267,783,Coolblue,Amara Chen,Digital Wallets,B2C,COMPUTERS,Pending,DELIVERED,23239,6204813,3485.85,15%,18%,1116866.34,6201327.15,19753.15,5087946.66,21-02-2025,25-02-2025,1.5,app,yes,Ecom Express,23239,Amsterdam,RETURNING,EXPRESS,Desktops,Euro,no,Influencer Marketing,no,GOOD,232.39,No,36
Sweden,0.5,243,784,CDON,Dante Fontaine,BNPL,B2C AND C2C,fitness,Paid,DELIVERED,27248,6621264,4087.2,15%,18%,1191827.52,6617176.8,23160.8,5429436.48,22-02-2025,26-02-2025,2,Website,no,Ecom Express,27248,Stockholm,RETURNING,STANDARD,Yoga Mats,Swedish Krona,yes,google ads,yes,WORST,272.48,Yes,27
singapore,0.4,115,785,Qoo10,Nina Ferraro,UPI,B2C AND C2C,beauty,Cancelled,DELIVERED,36233,4166795,5434.95,15%,18%,750023.1,4161360.05,30798.05,3416771.9,23-02-2025,27-02-2025,0.3,Website,no,Shadowfax,36233,singapore,RETURNING,Locker Delivery,Toners & Mists,Dollar,no,email,yes,EXCELLENT,362.33,Yes,34
France,2.6,266,786,Cdiscount,Elise Patel,Digital Wallets,B2C,furniture,Pending,IN TRANSIT,29593,7871738,4438.95,15%,18%,1416912.84,7867299.05,25154.05,6454825.16,24-02-2025,28-02-2025,1,app,no,Xpressbees,29593,Paris,NEW,Next-Day Delivery,Wardrobes,Euro,yes,Influencer blogs,no,BAD,295.93,No,25
Australia,1,289,787,Woolworths,Oliver Gonzalez,Credit Card,B2C,pet supplies,Refunded,RETURNED,30779,8895131,4616.85,15%,18%,1601123.58,8890514.15,26162.15,7294007.42,25-02-2025,01-03-2025,1.5,Website,yes,Blue Dart,30779,sydney,RETURNING,International Delivery,Cat Litter & Accessories,Dollar,no,Influencer Marketing,yes,WORST,307.79,Not Available,22
Brazil,1.3,258,788,Amazon BR,Mateo Schneider,Payment Gateways,B2C,BOOKS,Cancelled,RETURNED,35138,9065604,5270.7,15%,18%,1631808.72,9060333.3,29867.3,7433795.28,26-02-2025,02-03-2025,2,Social Media,no,FedEx,35138,Rio de Janeiro,NEW,Scheduled Delivery,Business & Finance,Brazilian Real,yes,YouTube ads,no,GOOD,351.38,Pre-Approved EMI,29
Mexico,1.2,246,789,Mercado Libre,Dhruv Richardson,COD,B2C AND C2C,sports goods,Failed,IN TRANSIT,43774,10768404,6566.1,15%,18%,1938312.72,10761837.9,37207.9,8830091.28,27-02-2025,03-03-2025,0.3,Direct,yes,FedEx,43774,Mexico City,RETURNING,EXPRESS,Fitness & Training,mexican Peso,no,directly,yes,BAD,437.74,Card EMI,45
italy,0.8,149,790,ePrice,Cruz Silva,Cryptocurreny,B2C,tech gadgets,Refunded,DELIVERED,23733,3536217,3559.95,15%,18%,636519.06,3532657.05,20173.05,2899697.94,28-02-2025,04-03-2025,3.6,Direct,no,DHL Express,23733,Rome,NEW,STANDARD,Pop Sockets,Euro,yes,email,no,GOOD,237.33,Debit Card EMI,49
Russia,0.7,118,791,Ozon,Isaac Verma,UPI,B2C,BOOKS,Cancelled,IN TRANSIT,22068,2604024,3310.2,15%,18%,468724.32,2600713.8,18757.8,2135299.68,01-03-2025,05-03-2025,4.5,Social Media,yes,Blue Dart,22068,Saint Petersburg,RETURNING,Next-Day Delivery,Academic & Educational,Russian Ruble,no,YouTube ads,yes,WORST,220.68,Bank EMI,48
Spain,0.7,115,792,El Corte Inglés,Avani Yilmaz,Debit Card,B2C,Luxury goods,Paid,RETURNED,20163,2318745,3024.45,15%,18%,417374.1,2315720.55,17138.55,1901370.9,02-03-2025,06-03-2025,2.4,Website,no,FedEx,20163,Madrid,NEW,International Delivery,Designer Handbags,Euro,yes,email,no,EXCELLENT,201.63,BNPL (Buy Now Pay Later),44
Turkey,0.6,237,793,n11,Bodhi Nakamura,Cryptocurreny,B2C AND C2C,auto parts,Pending,DELIVERED,32699,7749663,4904.85,15%,18%,1394939.34,7744758.15,27794.15,6354723.66,03-03-2025,07-03-2025,4,app,yes,Shadowfax,32699,Ankara,RETURNING,EXPRESS,Engine & Components,Turkish Lira,no,Social Media,yes,GOOD,326.99,EMI Declined,46
Netherlands,0.5,116,794,Bol.com,Yasmin Bakshi,COD,B2C AND C2C,toys,Paid,IN TRANSIT,30447,3531852,4567.05,15%,18%,635733.36,3527284.95,25879.95,2896118.64,04-03-2025,08-03-2025,5,app,yes,DHL Express,30447,Rotterdam,NEW,Locker Delivery,Dolls & Dollhouses,Euro,yes,directly,no,BAD,304.47,BNPL (Buy Now Pay Later),37
Sweden,0.5,110,795,Elgiganten,Sofia Pereira,Credit Card,B2C,COMPUTERS,Cancelled,IN TRANSIT,44886,4937460,6732.9,15%,18%,888742.8,4930727.1,38153.1,4048717.2,05-03-2025,09-03-2025,2.1,Social Media,yes,Ecom Express,44886,Gothenburg,RETURNING,International Delivery,Laptops & Notebooks,Swedish Krona,no,google ads,yes,GOOD,448.86,Bank EMI,28
singapore,0.4,135,796,Amazon SG,Kian Bashir,Payment Gateways,B2C,Fashion,Pending,DELIVERED,31429,4242915,4714.35,15%,18%,763724.7,4238200.65,26714.65,3479190.3,06-03-2025,10-03-2025,1.6,Website,no,Xpressbees,31429,singapore,RETURNING,Next-Day Delivery,Sneakers,Dollar,yes,Influencer blogs,yes,WORST,314.29,BNPL (Buy Now Pay Later),26
France,2.6,250,797,Amazon FR,Noah Johansson,UPI,B2C AND C2C,home goods,Refunded,RETURNED,23520,5880000,3528,15%,18%,1058400,5876472,19992,4821600,07-03-2025,11-03-2025,2.7,Direct,no,DTDC,23520,Marseille,RETURNING,STANDARD,Home Décor,Euro,no,Influencer Marketing,no,EXCELLENT,235.2,EMI Declined,24
China,50,253,798,Tmall,Leo Nguyen,BNPL,B2C,Fashion,Cancelled,IN TRANSIT,21283,5384599,3192.45,15%,18%,969227.82,5381406.55,18090.55,4415371.18,08-03-2025,12-03-2025,3.8,Direct,yes,FedEx,21283,Shenzhen,NEW,EXPRESS,Sunglasses,Chinese Yuan,yes,directly,no,EXCELLENT,212.83,No,19
US,27,283,799,Walmart,Nia Pereira,COD,B2C,home goods,Failed,DELIVERED,40705,11519515,6105.75,15%,18%,2073512.7,11513409.25,34599.25,9446002.3,09-03-2025,13-03-2025,4.9,Website,yes,Blue Dart,40705,Los Angeles,RETURNING,Locker Delivery,Home Storage & Organization,Dollar,no,directly,yes,WORST,407.05,Not Available,32
Japan,3.9,269,800,Yahoo! Shopping,Remy Delgado,Payment Gateways,B2C,Grocery,Refunded,DELIVERED,35554,9564026,5333.1,15%,18%,1721524.68,9558692.9,30220.9,7842501.32,10-03-2025,14-03-2025,3.3,Website,no,Xpressbees,35554,Nagoya,NEW,EXPRESS,fruits & Vegetables,Japanese Yen,yes,google ads,no,GOOD,355.54,Pre-Approved EMI,41
UK,2.9,151,801,Tesco,Zane Patel,Debit Card,B2C,home goods,Cancelled,DELIVERED,26832,4051632,4024.8,15%,18%,729293.76,4047607.2,22807.2,3322338.24,11-03-2025,15-03-2025,1.2,Social Media,yes,DTDC,26832,Manchester,RETURNING,Next-Day Delivery,Furniture,British Pound Sterling,no,Influencer blogs,no,BAD,268.32,Card EMI,33
South Korea,4.2,175,802,Naver Shopping,Alina Duarte,Cryptocurreny,B2C AND C2C,Fashion,Paid,IN TRANSIT,25894,4531450,3884.1,15%,18%,815661,4527565.9,22009.9,3715789,12-03-2025,16-03-2025,2.5,app,yes,Xpressbees,25894,Seoul,NEW,Scheduled Delivery,Sneakers,South Korean Won,no,Influencer Marketing,yes,WORST,258.94,Debit Card EMI,23
India,2.4,205,803,Myntra,Gemma Moreira,COD,B2C,footwear,Pending,RETURNED,32637,6690585,4895.55,15%,18%,1204305.3,6685689.45,27741.45,5486279.7,13-03-2025,17-03-2025,1.1,app,no,DTDC,32637,delhi,RETURNING,Locker Delivery,casual Shoes,Indian Rupee,yes,directly,yes,EXCELLENT,326.37,Bank EMI,42
Germany,2.1,229,804,OTTO,Mateo Gonzalez,Credit Card,B2C,furniture,Paid,RETURNED,32292,7394868,4843.8,15%,18%,1331076.24,7390024.2,27448.2,6063791.76,14-03-2025,18-03-2025,2.3,Website,no,Shadowfax,32292,Hamburg,NEW,EXPRESS,Sofas & Couches,Euro,yes,email,no,GOOD,322.92,BNPL (Buy Now Pay Later),50
Indonesia,1.2,136,805,Tokopedia,Amira Harrington,Payment Gateways,B2C AND C2C,fashion,Cancelled,IN TRANSIT,23622,3212592,3543.3,15%,18%,578266.56,3209048.7,20078.7,2634325.44,15-03-2025,19-03-2025,4.6,app,yes,FedEx,23622,jakarta,RETURNING,STANDARD,Sunglasses,Indonesian Rupiah,no,Social Media,yes,BAD,236.22,EMI Declined,21
Canada,1.5,282,806,Walmart CA,Silas Ocampo,UPI,B2C,Grocery,Pending,DELIVERED,47606,13424892,7140.9,15%,18%,2416480.56,13417751.1,40465.1,11008411.44,16-03-2025,20-03-2025,4.4,Direct,no,FedEx,47606,Toronto,NEW,EXPRESS,Dairy & Eggs,Dollar,no,google ads,yes,WORST,476.06,BNPL (Buy Now Pay Later),47
South Korea,4.2,202,807,Coupang,Liam Chen,BNPL,B2C,baby products,Refunded,IN TRANSIT,34516,6972232,5177.4,15%,18%,1255001.76,6967054.6,29338.6,5717230.24,17-03-2025,21-03-2025,1.7,Social Media,yes,DHL Express,34516,Busan,RETURNING,STANDARD,Baby Wipes,South Korean Won,yes,directly,no,EXCELLENT,345.16,Debit Card EMI,38
India,2.4,197,808,Flipkart,Malachi Anderson,COD,B2C AND C2C,BOOKS,Cancelled,RETURNED,27357,5389329,4103.55,15%,18%,970079.22,5385225.45,23253.45,4419249.78,18-03-2025,22-03-2025,2.9,Social Media,no,Blue Dart,27357,bengaluru,NEW,Locker Delivery,Children’s Books,Indian Rupee,no,YouTube ads,yes,GOOD,273.57,Not Available,43
Germany,2.1,197,809,media market,Jonah Dubois,Payment Gateways,B2C,gaming,Failed,DELIVERED,41216,8119552,6182.4,15%,18%,1461519.36,8113369.6,35033.6,6658032.64,19-03-2025,23-03-2025,3.9,Direct,no,Shadowfax,41216,Cologne,RETURNING,Next-Day Delivery,playStation,Euro,no,Influencer blogs,no,BAD,412.16,BNPL (Buy Now Pay Later),36
Indonesia,1.2,179,810,Shopee,Alia Matthews,Net Banking,B2C AND C2C,beauty,Refunded,IN TRANSIT,25200,4510800,3780,15%,18%,811944,4507020,21420,3698856,20-03-2025,24-03-2025,4.7,app,yes,DHL Express,25200,jakarta,NEW,International Delivery,Makeup Kits & Combo,Indonesian Rupiah,yes,Influencer Marketing,yes,BAD,252,Yes,27
Canada,1.5,281,811,Best Buy,Lara Foley,Debit Card,B2C,gaming,Cancelled,IN TRANSIT,47347,13304507,7102.05,15%,18%,2394811.26,13297404.95,40244.95,10909695.74,21-03-2025,25-03-2025,3.5,Website,yes,Ecom Express,47347,vancouver,RETURNING,Scheduled Delivery,Mobile Gaming,Dollar,yes,Influencer blogs,no,GOOD,473.47,NO,34
Australia,1,154,812,Catch,Ibrahim Brown,Digital Wallets,B2C,daily deals,Paid,DELIVERED,36064,5553856,5409.6,15%,18%,999694.08,5548446.4,30654.4,4554161.92,22-03-2025,26-03-2025,1.8,Social Media,yes,Xpressbees,36064,melbourne,NEW,EXPRESS,Today Only Deals,Dollar,no,directly,yes,WORST,360.64,Debit Card EMI,25
Brazil,1.3,157,813,Mercado Livre,Noor Reddy,BNPL,B2C AND C2C,ELECTRONICS,Pending,RETURNED,22348,3508636,3352.2,15%,18%,631554.48,3505283.8,18995.8,2877081.52,23-03-2025,27-03-2025,4.2,Direct,yes,DTDC,22348,São Paulo,RETURNING,STANDARD,Streaming Devices,Brazilian Real,yes,Influencer Marketing,no,EXCELLENT,223.48,Card EMI,22
Mexico,1.2,178,814,Liverpool,Mia Rossi,UPI,B2C,beauty,Paid,IN TRANSIT,33003,5874534,4950.45,15%,18%,1057416.12,5869583.55,28052.55,4817117.88,24-03-2025,28-03-2025,3,app,no,FedEx,33003,Guadalajara,NEW,Next-Day Delivery,Toners & Mists,mexican Peso,yes,Social Media,yes,EXCELLENT,330.03,Pre-Approved EMI,29
italy,0.8,271,815,Zalando,Aisha Singh,Digital Wallets,B2C,shoes,Cancelled,DELIVERED,30099,8156829,4514.85,15%,18%,1468229.22,8152314.15,25584.15,6688599.78,25-03-2025,29-03-2025,3.8,Website,no,Blue Dart,30099,Milan,RETURNING,International Delivery,sneakers,Euro,no,YouTube ads,no,WORST,300.99,Yes,45
US,27,255,816,Walmart,Zion Patel,Credit Card,B2C,Apparel,Pending,DELIVERED,43820,11174100,6573,15%,18%,2011338,11167527,37247,9162762,26-03-2025,30-03-2025,4.9,app,no,FedEx,43820,New York City,RETURNING,EXPRESS,Scarves & Stoles,Dollar,yes,google ads,yes,GOOD,438.2,No,49
Japan,3.9,289,817,Rakuten,Zayd Darwish,Payment Gateways,B2C AND C2C,BOOKS,Refunded,RETURNED,42779,12363131,6416.85,15%,18%,2225363.58,12356714.15,36362.15,10137767.42,27-03-2025,31-03-2025,3.3,Social Media,yes,Blue Dart,42779,Tokyo,RETURNING,Locker Delivery,non-fiction,Japanese Yen,no,email,no,BAD,427.79,Not Available,48
UK,2.9,297,818,Amazon UK,Saanvi Nakamura,COD,B2C AND C2C,BOOKS,Cancelled,IN TRANSIT,32724,9719028,4908.6,15%,18%,1749425.04,9714119.4,27815.4,7969602.96,28-03-2025,01-04-2025,1.2,Website,yes,Ecom Express,32724,London,NEW,International Delivery,Children’s Books,British Pound Sterling,yes,Influencer blogs,yes,GOOD,327.24,Pre-Approved EMI,44
South Korea,4.2,155,819,Coupang,Lila Abdul,Cryptocurreny,B2C,beauty,Failed,DELIVERED,31797,4928535,4769.55,15%,18%,887136.3,4923765.45,27027.45,4041398.7,29-03-2025,02-04-2025,2.5,app,yes,FedEx,31797,Seoul,RETURNING,Next-Day Delivery,Makeup Kits & Combo,South Korean Won,no,Social Media,no,BAD,317.97,Card EMI,46
India,2.4,294,820,Myntra,Amira Delgado,UPI,B2C,accessories,Refunded,RETURNED,21421,6297774,3213.15,15%,18%,1133599.32,6294560.85,18207.85,5164174.68,30-03-2025,03-04-2025,1.1,Direct,yes,DTDC,21421,delhi,RETURNING,STANDARD,Hats & Caps,Indian Rupee,yes,directly,yes,WORST,214.21,Debit Card EMI,37
